experiment_id,run_id,seed,users,arrival_rate,traffic_pattern,algorithm,architecture,distributed_latency,failure_rate,fail_closed,rate_limit,simulation_duration,total_requests,accepted_requests,rejected_requests,throughput,acceptance_rate,rejection_rate,p95_latency,jain_fairness,limit_overshoot
2,29,4262189849,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9842404517292761,2.0
2,30,2556706690,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9532890239270794,2.0
2,31,272096490,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9551754319202375,2.0
2,32,3782878104,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9662060204788667,2.0
2,33,4231574444,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9669504584328531,2.0
2,34,2433814984,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9805492616610673,2.0
2,35,2900366001,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9706899218810426,2.0
2,36,3090260824,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9734002947335764,2.0
2,37,3496239347,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9645722849896242,2.0
2,38,1907596420,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9567774643592285,2.0
2,39,2545527111,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9729475153112644,2.0
2,40,2503368288,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9582385279071544,2.0
2,41,2878036263,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9619107840882961,2.0
2,42,390388015,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9452474203509829,2.0
2,43,938371868,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9740046565774156,2.0
2,44,372406408,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9794778740341841,2.0
2,45,330790222,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9456747795946048,2.0
2,46,2201637469,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9669504584328531,2.0
2,47,3255924539,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9597040605643496,2.0
2,48,2981377256,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.975518849591916,2.0
2,49,408555600,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9717421602787456,2.0
2,50,98162551,20,50.0,constant,token_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.959557305604404,2.0
3,1,3430172136,20,50.0,constant,leaky_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9721938182663258,2.0
3,2,558373626,20,50.0,constant,leaky_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.968891376515093,2.0
3,3,4280288541,20,50.0,constant,leaky_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9538686630690887,2.0
3,4,1672086392,20,50.0,constant,leaky_bucket,local,0,0.0,True,50,10.0,501,501,0,50.1,1.0,0.0,0.0,0.9653142065994923,2.0
